,Title,Date,Names,Country,Indicators
0, Lordix stealer ,,,,
1, CharmingKitten ,,"CharmingKitten, CharmingKitten, CharmingKitten, ","Iran, the United States, Israel, UK, ",
2, Trojan Infection ,,"Perl/Shellbot, SM, DHOA, ",,
3, Remote Access Tools ,,"MSIL, ",,
4, Mobile Trojan Infection ,,,,
5, Trojan Infection ,,"CoinStealer, MSIL, ","AZORult SSL, ",
6, Remote Access Tools ,,,,
7, C&C Communication ,,"Abuse.ch, ",,
